,Season,crop Type,Harvest Date (YYYY/MM/DD),Harvest Date (Step),Yield (tonne/ha),Seasonal irrigation (mm),Es,Tr,DeepPerc,CR,biomass,harvest_index,biomass_ns,canopy_cover,run
4,4,WheatGDD,1984-05-31,1750,3.933364450599892,30.0,64.41036741351824,193.39371283420627,0.0,0.0,1218.9465586520266,0.48,1713.391046310849,0.9368341379084657,213
5,5,WheatGDD,1985-05-28,2112,8.17124901011402,30.0,67.72136490729511,331.81076899593415,50.79855497729067,0.0,1704.3381546848857,0.48,1707.6245850304258,0.9376741417286278,213
6,6,WheatGDD,1986-05-21,2470,2.0364408265706393,30.0,96.17565206571658,154.4879840934909,0.0,0.0,881.9291066457665,0.37552292530191994,1604.1793369318582,0.8556588709340495,213
7,7,WheatGDD,1987-06-02,2847,4.3840599066247234,30.0,78.8090446079792,254.6172868810995,0.0,0.0,1351.322725784787,0.3823030372608826,1675.4976193248522,0.937646619440691,213
8,8,WheatGDD,1988-05-14,3194,0.32892521500543237,30.0,86.90061992633042,69.09409605860294,0.0,0.0,384.1410359761769,0.3708626776031363,1593.686738532682,0.6554983370131237,213
9,9,WheatGDD,1989-05-25,3570,0.5089606561974865,30.0,83.64668933393706,129.38148382524997,0.0,0.0,749.4035540069843,0.377810033644519,1631.9055947091701,0.7723149910309034,213
10,10,WheatGDD,1990-05-16,3926,6.394430613744835,30.0,61.25477507464048,224.64342722858984,0.0,0.0,1452.5207830597321,0.48,1747.7398867063207,0.9373177381531391,213
11,11,WheatGDD,1991-06-02,4308,8.223730438359674,30.0,63.69591649916026,307.88768479198,86.325821755436,0.0,1743.3207395934185,0.48,1804.8239052417773,0.9378088923333083,213
12,12,WheatGDD,1992-05-31,4672,6.148853137573488,30.0,66.07846767443428,257.5246001529484,0.0,0.0,1508.3357403564635,0.48,1787.619823002064,0.9375677585512745,213
13,13,WheatGDD,1993-05-30,5036,5.502268684028599,30.0,58.18392351619192,263.21286922418415,0.0,0.0,1404.832180562559,0.42038918629263605,1718.91974399101,0.9375808080564116,213
14,14,WheatGDD,1994-05-18,5389,0.0,30.0,99.34696988336279,78.97678025356078,0.0,0.0,562.4752544215862,0.37416162369928946,1663.0028565031303,0.8120907937472808,213
15,15,WheatGDD,1995-05-13,5749,2.8086465565628345,20.0,62.11207424789565,176.53599483655546,0.0,0.0,1023.667680111208,0.33533943503342756,1601.7190088614814,0.9278056806295714,213
16,16,WheatGDD,1996-05-17,6119,7.871104794595357,30.0,74.55343877231462,256.6267358291912,22.719587399010248,0.0,1616.457639454941,0.48,1786.7170702177107,0.9284372221217134,213
17,17,WheatGDD,1997-05-15,6482,2.203248809038329,30.0,73.68330681473778,142.80248103143768,0.0,0.0,966.1805937020879,0.44743434575362756,1753.8411199166546,0.9148047708917736,213
18,18,WheatGDD,1998-05-16,6848,3.790665248157799,30.0,91.00391295143707,162.34693401038638,0.0,0.0,1041.3371529379638,0.44687212582471475,1750.9258327158416,0.8727267071211302,213
19,19,WheatGDD,1999-05-20,7217,4.7218261723580826,30.0,66.43161025861895,217.55767938655634,0.0,0.0,1313.4398287820143,0.43679887205377177,1716.6816474420982,0.9338658960542224,213
20,20,WheatGDD,2000-05-16,7579,0.0827249563046141,30.0,135.32402649483683,48.49652756652544,0.0,0.0,347.3157972268391,0.4164070353588129,1695.5270041499778,0.4099829704511653,213
21,21,WheatGDD,2001-05-11,7939,1.3433994407516978,20.0,78.24805833553026,173.44948258317035,0.0,0.0,1027.4488592299638,0.37436627178139603,1649.6352718872924,0.9176052760229291,213
22,22,WheatGDD,2002-05-15,8308,0.0,30.0,147.51332435233735,11.09161521426939,0.0,0.0,97.3048737061351,0.025268523278873477,1660.6801676977243,0.14232389940510093,213
0,0,WheatGDD,1980-05-30,288,2.930471860229159,30.0,70.83649832961297,204.4213363319347,0.0,0.0,1211.5769227436022,0.3887771740376242,1666.9192675349832,0.9359979034059941,214
1,1,WheatGDD,1981-05-30,653,5.9317282297503935,30.0,81.31162991089815,255.76851293744778,0.0,0.0,1370.674078436073,0.48,1628.9999651048151,0.937579840740949,214
2,2,WheatGDD,1982-05-24,1012,7.228933185403203,30.0,65.10589789966639,267.962061331412,0.0,0.0,1530.2548582985887,0.4650230918439555,1720.2101252285263,0.915209278813684,214
3,3,WheatGDD,1983-05-18,1371,3.1074050855648268,30.0,56.5194477761994,165.09079229689664,0.0,0.0,1149.1050519035907,0.3849575185182979,1655.0907644023305,0.925187860710194,214
4,4,WheatGDD,1984-05-31,1750,3.059743447570217,30.0,62.83606826869859,193.61874984246487,0.0,0.0,1224.406281395456,0.48,1713.6329637285544,0.9372133458044303,214
5,5,WheatGDD,1985-05-28,2112,8.171322297756202,30.0,61.32620221095084,331.7932743168314,53.08562864471673,0.0,1704.2952300660572,0.48,1707.6245850304258,0.9376741417286278,214
6,6,WheatGDD,1986-05-21,2470,2.355636367623674,30.0,86.63122645499574,166.75968386205994,0.0,0.0,941.4163799666273,0.37552292530191994,1604.1793369318582,0.869187028686359,214
7,7,WheatGDD,1987-06-02,2847,4.48281690260903,30.0,78.12096283037177,255.92033905095482,0.0,0.0,1363.095167528304,0.3823030372608826,1675.5431592067912,0.9377309818975049,214
8,8,WheatGDD,1988-05-14,3194,0.528245013193877,30.0,87.56165320159744,78.89844833849328,0.0,0.0,432.72962471984323,0.3708626776031363,1593.686738532682,0.6898652083501746,214
9,9,WheatGDD,1989-05-25,3570,0.35063562230003437,30.0,79.14665956483236,135.04555161887274,0.0,0.0,790.0653232480772,0.377810033644519,1631.9055947091701,0.7918472635155012,214
10,10,WheatGDD,1990-05-16,3926,6.613621542509361,30.0,59.19538999035576,233.89567258923046,0.0,0.0,1492.9047636594996,0.48,1748.8000142952933,0.9373616236465707,214
11,11,WheatGDD,1991-06-02,4308,8.131531844204,30.0,63.118920897369854,304.50011576543017,93.63957753278457,0.0,1731.8163172553766,0.48,1804.8239052417773,0.9378088923333083,214
12,12,WheatGDD,1992-05-31,4672,6.617885772591554,30.0,60.715502335600675,262.08597337610104,0.0,0.0,1526.509398995538,0.48,1788.7108956720417,0.9376782592977273,214
13,13,WheatGDD,1993-05-30,5036,5.6973341198853085,30.0,54.684791811885766,273.37242204413536,0.0,0.0,1443.6611809025555,0.42038918629263605,1718.9499167676363,0.9376365798145825,214
14,14,WheatGDD,1994-05-18,5389,0.3801786719631575,30.0,88.62983035988691,91.66612723345479,0.0,0.0,613.8150541689342,0.37416162369928946,1663.0028565031303,0.8160854302128441,214
15,15,WheatGDD,1995-05-14,5750,3.0881999328484078,30.0,63.22426754390857,184.7938213232923,0.0,0.0,1055.9988755791062,0.3514128311408245,1611.3956086482597,0.9295228806033533,214
16,16,WheatGDD,1996-05-17,6119,8.148425790888684,30.0,72.7799000634715,266.7697911887298,22.88269080459681,0.0,1660.4062273236016,0.48,1787.5894531537265,0.9284372221217134,214
17,17,WheatGDD,1997-05-15,6482,2.489880443752805,30.0,69.46865244170561,151.9159691645579,0.0,0.0,1012.2385858216818,0.44743434575362756,1753.8411199166546,0.915118919958057,214
18,18,WheatGDD,1998-05-16,6848,4.4691981780781695,30.0,79.2021857583351,183.67985784266776,0.0,0.0,1145.8288188682225,0.44687212582471475,1750.9258327158416,0.8845572876131125,214
19,19,WheatGDD,1999-05-20,7217,5.018623825709712,30.0,59.48958283465901,223.00758192219197,0.0,0.0,1343.3315944539,0.43679887205377177,1717.4636500237602,0.9345737937909054,214
20,20,WheatGDD,2000-05-16,7579,0.34375134038059213,30.0,130.3491369758889,56.58766284233532,0.0,0.0,392.5193964776432,0.4164070353588129,1695.5270041499778,0.44286443143996773,214
21,21,WheatGDD,2001-05-11,7939,2.183153359474622,30.0,78.13992514615656,183.78828585472874,0.0,0.0,1057.50427477068,0.37436627178139603,1649.6394960972336,0.91743077582629,214
22,22,WheatGDD,2002-05-15,8308,0.3630178805711939,30.0,143.99803396445893,19.61124826657345,0.0,0.0,137.17968495200816,0.39359774410754356,1660.6801676977243,0.14232389940510093,214
0,0,WheatGDD,1980-05-30,288,3.1714141383214636,30.0,72.11402050314001,202.7956957044209,0.0,0.0,1199.984271427548,0.3887771740376242,1665.1900060482885,0.9340247135979393,215
1,1,WheatGDD,1981-05-30,653,5.917555497809569,30.0,82.3849038844129,254.21558264293074,0.0,0.0,1362.8583351201755,0.48,1628.4872604769605,0.9373630913341052,215
2,2,WheatGDD,1982-05-24,1012,7.168692809198148,30.0,65.89148755523868,262.6813317303566,0.0,0.0,1507.9767107806092,0.4650230918439555,1720.0096538490745,0.9150848842830082,215
3,3,WheatGDD,1983-05-29,1382,3.678023731269848,30.0,72.05835335631096,155.6310486676338,0.0,0.0,1103.1137518873152,0.48,1689.9858125744831,0.9155575307798797,215
4,4,WheatGDD,1984-05-31,1750,3.2888273785359523,30.0,66.72190747965092,192.00212488495896,0.0,0.0,1211.0893877979818,0.48,1713.3596401116918,0.9367977398696937,215
5,5,WheatGDD,1985-05-28,2112,8.185293277848425,30.0,61.695698280087925,332.39955076817023,50.72291139750253,0.0,1706.0054932302721,0.48,1707.6245850304258,0.9376741417286278,215
6,6,WheatGDD,1986-05-21,2470,2.120840622945794,30.0,95.17795781680859,155.25881748696645,0.0,0.0,876.9120850133181,0.37552292530191994,1604.1793369318582,0.8453339659247439,215
7,7,WheatGDD,1987-06-02,2847,4.575453697637109,30.0,78.17902430787036,263.40816711975253,0.0,0.0,1381.8874146144187,0.3823030372608826,1675.5385126277704,0.9377222231883506,215
8,8,WheatGDD,1988-05-14,3194,0.6065937829510852,30.0,90.54533314983466,74.24413733452408,0.0,0.0,402.44322339228535,0.3708626776031363,1593.686738532682,0.6655474559697626,215
9,9,WheatGDD,1989-05-25,3570,0.3776906802960242,30.0,90.65341835903953,124.0192837948896,0.0,0.0,727.6306982316964,0.377810033644519,1631.9055947091701,0.7597974581753529,215
10,10,WheatGDD,1990-05-16,3926,6.4566964456083005,30.0,60.26853575649291,226.37948406792748,0.0,0.0,1457.8091300175536,0.48,1747.2848524071837,0.9365510250949548,215
11,11,WheatGDD,1991-06-02,4308,8.201446177991386,30.0,65.49812138692916,307.4386469566867,86.32582175228013,0.0,1741.4620691850446,0.48,1804.8239052417773,0.9378088923333083,215
12,12,WheatGDD,1992-05-31,4672,6.0420167616089175,30.0,67.20977715958911,260.85527969846305,0.0,0.0,1518.1549739321179,0.48,1787.9046231549985,0.9376170415457558,215
13,13,WheatGDD,1993-05-30,5036,5.511466020224816,30.0,55.908624275740486,263.8474652831192,0.0,0.0,1406.3678750623353,0.42038918629263605,1718.91974399101,0.9375808080564116,215
14,14,WheatGDD,1994-05-18,5389,0.0,30.0,100.90732356198963,78.79279650885248,0.0,0.0,551.8369359507129,0.37416162369928946,1663.0028565031303,0.7743982399431766,215
15,15,WheatGDD,1995-05-18,5754,3.24919842705024,30.0,69.3041813057491,178.33661588110124,0.0,0.0,1028.1841846658403,0.3835596233556184,1642.8674536289545,0.9243208182318295,215
16,16,WheatGDD,1996-05-17,6119,7.872746835685701,30.0,74.0444216076236,256.66426902611823,27.398166987939664,0.0,1616.7857719649537,0.48,1786.7199914737253,0.9284372221217134,215
17,17,WheatGDD,1997-05-15,6482,2.8810723467640083,30.0,75.23141722432219,145.61541591271038,0.0,0.0,974.9719499307805,0.44743434575362756,1753.8411199166546,0.9073958174450707,215
18,18,WheatGDD,1998-05-16,6848,4.121089487227096,30.0,87.52147388066818,176.5123235591787,0.0,0.0,1101.7071469096609,0.44687212582471475,1750.9258327158416,0.873752061819833,215
19,19,WheatGDD,1999-05-20,7217,4.457137952008111,30.0,66.28122714356869,217.90306121084936,0.0,0.0,1317.34428833701,0.43679887205377177,1716.492728798335,0.9335712069685832,215
20,20,WheatGDD,2000-05-16,7579,0.2360479559379811,30.0,141.69935416501136,40.260134770618784,0.0,0.0,303.9177534461548,0.4164070353588129,1695.5270041499778,0.4099829704511653,215
21,21,WheatGDD,2001-05-11,7939,1.3953718475905736,30.0,79.1942983302497,175.81671900453216,0.0,0.0,1034.640315888632,0.37436627178139603,1649.354497112421,0.9102811886117222,215
22,22,WheatGDD,2002-05-15,8308,0.11935803134652422,30.0,141.93897458229543,15.175855085905061,0.0,0.0,115.58854436099824,0.39359774410754356,1660.6801676977243,0.14232389940510093,215
0,0,WheatGDD,1980-05-30,288,3.0638168555642586,30.0,73.46479640176211,204.13390495994634,0.0,0.0,1213.3071631057335,0.3887771740376242,1666.7057842945892,0.9350918771544875,216
1,1,WheatGDD,1981-05-30,653,5.913526097379231,30.0,81.45425324762816,254.99136343769885,0.0,0.0,1368.250288769298,0.48,1628.7509364868984,0.9372236790577385,216
2,2,WheatGDD,1982-05-24,1012,7.023551062206797,30.0,65.52782515243412,257.8184669929472,0.0,0.0,1493.055173724815,0.4650230918439555,1720.010847073317,0.9147670251547817,216
3,3,WheatGDD,1983-05-20,1373,2.111530600430872,30.0,63.8110511661625,160.39134955401911,0.0,0.0,1120.8893941140661,0.4022379696967892,1667.7550469850712,0.9222599277880268,216
4,4,WheatGDD,1984-05-31,1750,3.3004974463123617,30.0,63.18188151997146,198.5235028813837,0.0,0.0,1243.0702832839472,0.48,1713.0089741616518,0.9362670887497835,216
5,5,WheatGDD,1985-05-28,2112,8.185987275681143,30.0,61.19889907072958,332.43084720978777,50.69657131603397,0.0,1706.088803400661,0.48,1707.6245850304258,0.9376741417286278,216
6,6,WheatGDD,1986-05-21,2470,2.568039317100075,30.0,80.21121309415524,176.56216427478225,0.0,0.0,984.7263205807764,0.37552292530191994,1604.1793369318582,0.8743401693587328,216
7,7,WheatGDD,1987-06-02,2847,4.451518441670032,30.0,82.65134905242668,254.8217909547422,0.0,0.0,1359.3416554078892,0.3823030372608826,1675.5119551388318,0.9376772842494498,216
8,8,WheatGDD,1988-05-14,3194,0.39306620350525107,30.0,86.45441632467613,84.99784072750927,0.0,0.0,456.34700530142703,0.3708626776031363,1593.686738532682,0.6877969134612855,216
9,9,WheatGDD,1989-05-25,3570,0.6592041544267357,30.0,78.8953713138043,135.1859262359204,0.0,0.0,792.5601438638452,0.377810033644519,1631.9055947091701,0.8323284620741382,216
10,10,WheatGDD,1990-05-16,3926,6.304200069848873,30.0,60.51674167171709,222.4847634192731,0.0,0.0,1430.9029683052902,0.48,1746.7776804931332,0.9364569716210406,216
11,11,WheatGDD,1991-06-02,4308,8.086231155999705,30.0,63.15580518699995,302.44736340688456,95.66099075133937,0.0,1724.6493373557971,0.48,1804.8230229894668,0.937807158361598,216
12,12,WheatGDD,1992-05-31,4672,6.620652920395986,30.0,60.69825322243449,263.4278853177391,0.0,0.0,1531.2193151901358,0.48,1788.9031190352848,0.9375872942945803,216
13,13,WheatGDD,1993-05-30,5036,5.698565805192796,30.0,56.668111746484406,273.3948970437554,0.0,0.0,1443.772186351326,0.42038918629263605,1719.0605637427034,0.9376786806250383,216
14,14,WheatGDD,1994-05-18,5389,0.0,30.0,90.54400490364009,89.75160439065762,0.0,0.0,627.4998003095975,0.37416162369928946,1663.0028565031303,0.8365885119080616,216
15,15,WheatGDD,1995-05-18,5754,3.187351378408162,30.0,67.28066826987524,182.0260498205996,0.0,0.0,1046.4755103791802,0.3835596233556184,1642.9724247562526,0.9237979333869136,216
16,16,WheatGDD,1996-05-17,6119,8.125303479306597,30.0,73.47141365471879,265.3082911476646,22.66855531872846,0.0,1657.2562568621731,0.48,1786.7974836485969,0.9284506486541766,216
17,17,WheatGDD,1997-05-15,6482,2.7787491064166328,30.0,70.34004104301107,151.4975969143111,0.0,0.0,1006.5633403700604,0.44743434575362756,1753.8411199166546,0.9122002749216644,216
18,18,WheatGDD,1998-05-16,6848,4.293077768957143,30.0,77.90541343373435,188.2721001537259,0.0,0.0,1163.849814886281,0.44687212582471475,1751.4768135429138,0.8957946911351632,216
19,19,WheatGDD,1999-05-20,7217,4.763357371104891,30.0,60.4919778586804,211.509993382441,0.0,0.0,1291.6491310812457,0.43679887205377177,1715.9936734547182,0.9287232824152494,216
20,20,WheatGDD,2000-05-16,7579,0.1015237031973121,30.0,118.16358917281681,67.72028290917207,0.0,0.0,460.9050553337092,0.4164070353588129,1695.5270041499778,0.5726117384467804,216
21,21,WheatGDD,2001-05-11,7939,1.3876630759347117,30.0,79.11868771089763,182.50062704442365,0.0,0.0,1059.61980703923,0.37436627178139603,1649.7191944363226,0.9170782253938011,216
22,22,WheatGDD,2002-04-02,8265,0.0,20.0,74.83302196498491,13.533349330235152,0.0,0.0,122.6391235431028,0.022545378279353052,1093.1446774875328,0.19224234297280482,216
0,0,WheatGDD,1980-05-30,288,3.142477213179411,30.0,72.10669195521358,203.0953277374737,0.0,0.0,1205.7586051689143,0.3887771740376242,1665.3493866690405,0.9342795741908007,217
1,1,WheatGDD,1981-05-30,653,5.916166175442465,30.0,82.46061738256088,253.10662951812714,0.0,0.0,1356.742350061075,0.48,1628.3634605645789,0.9373002298128679,217
2,2,WheatGDD,1982-05-24,1012,7.15507861199921,30.0,67.85563239571405,262.59584929970634,0.0,0.0,1507.7605271759464,0.4650230918439555,1720.0188603339452,0.9156970017990939,217
3,3,WheatGDD,1983-05-29,1382,3.864313560605177,30.0,71.3642692783333,154.97583761718846,0.0,0.0,1102.9200206878909,0.48,1690.67636541782,0.9244007957014985,217
4,4,WheatGDD,1984-05-31,1750,3.8263087916113863,30.0,65.64417097351715,181.93338074577386,0.0,0.0,1171.099500402432,0.48,1710.777554337969,0.9351725963591493,217
5,5,WheatGDD,1985-05-28,2112,8.17124901011402,30.0,67.72136490729511,331.81076899593415,50.63089264372476,0.0,1704.3381546848857,0.48,1707.6245850304258,0.9376741417286278,217
6,6,WheatGDD,1986-05-21,2470,2.043319025325441,30.0,95.68977364074715,154.95651590905638,0.0,0.0,884.1713445165532,0.37552292530191994,1604.1793369318582,0.8555755701808034,217
7,7,WheatGDD,1987-06-02,2847,4.373670165494742,30.0,78.83994279856518,254.01653771893336,0.0,0.0,1349.2279829176002,0.3823030372608826,1675.4925229520904,0.9376373633586987,217
8,8,WheatGDD,1988-05-14,3194,0.24865732706471208,30.0,82.96183234335975,81.4443624461758,0.0,0.0,460.8984515862426,0.3708626776031363,1593.686738532682,0.7259858847580853,217
9,9,WheatGDD,1989-05-25,3570,0.5212407673339831,30.0,80.91213749594887,131.977544273736,0.0,0.0,766.8509091306153,0.377810033644519,1631.9055947091701,0.80770064819052,217
10,10,WheatGDD,1990-05-16,3926,6.394503096609962,30.0,61.21423650970918,224.6619311499723,0.0,0.0,1452.564705041695,0.48,1747.7740681433672,0.9373640615485895,217
11,11,WheatGDD,1991-06-02,4308,8.074165264086666,30.0,63.82608134168343,301.47596014103533,95.85556414362625,0.0,1722.261018852817,0.48,1804.8230229894668,0.937807158361598,217
12,12,WheatGDD,1992-05-31,4672,6.148853137573488,30.0,66.2647550564242,257.5246001529484,0.0,0.0,1508.3357403564635,0.48,1787.619823002064,0.9375677585512745,217
