,Yield (tonne/ha),biomass,harvest_index,canopy_cover,Es,Tr,DeepPerc,CR,date1,date2,names
median,4.0155537170442654,1289.2789500115518,0.43679887205377177,0.9356569521787532,68.31365624975517,213.73988266295441,0.0,0.0,02-13,04-24,summary_5
var,7.708714692109805,152020.50615547318,0.002045268372625383,0.01130915347408038,349.7548467012075,5596.268735295435,848.4019106437605,0.0,02-13,04-24,summary_5
mean,4.585721275141896,1268.6768853986484,0.4282906365205747,0.8741728174329368,72.88180886503963,223.51113000447964,8.940165820169929,0.0,03-05,04-04,summary_6
min,0.13524017435649704,406.26344293773786,0.3708626776031363,0.37164117407182606,53.592970394327175,69.06769735684824,0.0,0.0,03-05,04-04,summary_6
max,8.498686597259361,1779.448976108059,0.48,0.9378088923333083,120.63800300002094,332.7647010838104,96.38473480388713,0.0,03-05,04-04,summary_6
median,4.1186754430633465,1308.5607651209511,0.43679887205377177,0.9336675889142092,66.71384497419047,227.43836337190194,0.0,0.0,03-05,04-04,summary_6
var,7.312828500571288,156132.09886301274,0.001930708232044297,0.019230918284574006,278.46309956651874,5472.19027931398,629.403196650182,0.0,03-05,04-04,summary_6
mean,4.4819655228823505,1232.7354772882065,0.4301689464312803,0.8741719057484967,76.23532121767366,215.6166108970994,9.378323567714153,0.0,03-05,05-04,summary_7
min,0.0,360.73955602165097,0.3708626776031363,0.37164117407182606,55.080040774128705,56.297038713958834,0.0,0.0,03-05,05-04,summary_7
max,8.472666144696609,1778.7153291007833,0.48,0.9378088923333083,123.37079285698022,332.7647010838104,96.38473480388713,0.0,03-05,05-04,summary_7
median,4.77176986275615,1281.0625992222201,0.43679887205377177,0.9336675889142092,69.43837865962726,224.75699214468463,0.0,0.0,03-05,05-04,summary_7
var,7.571655994939402,163806.48003816966,0.002045268372625383,0.019230797235135724,299.71276946352856,5845.891198901677,662.2567496137918,0.0,03-05,05-04,summary_7
mean,4.537738759955328,1225.4097008720312,0.4147756982243092,0.8631700296668408,78.249365257942,216.70504398363764,7.948405292291471,0.0,04-04,05-04,summary_8
min,0.07000087324586077,206.8972076891638,0.039553035347209824,0.3225787382904364,54.30284219385956,23.608649506874247,0.0,0.0,04-04,05-04,summary_8
max,8.49857821849943,1778.7098102046277,0.48,0.937807158361598,141.69569672646148,332.7647010838104,96.38473480388713,0.0,04-04,05-04,summary_8
median,4.457340014905457,1330.5499984596622,0.43679887205377177,0.9282129888777779,72.16666948644746,224.33332330345524,0.0,0.0,04-04,05-04,summary_8
var,7.538227541837464,185802.3348869637,0.008672242876003666,0.022419553854998563,399.78210205259114,6594.1340189205075,531.2429730158467,0.0,04-04,05-04,summary_8
